ticker,name,logoid,close,MACD.hist,KltChnl.lower,KltChnl.upper,BB.lower,BB.upper,ATR,SMA20,volume,average_volume_10d_calc,Value.Traded,KltChnl.lower|1,KltChnl.upper|1,BB.lower|1,BB.upper|1,ATR|1,SMA20|1,volume|1,average_volume_10d_calc|1,Value.Traded|1,KltChnl.lower|5,KltChnl.upper|5,BB.lower|5,BB.upper|5,ATR|5,SMA20|5,volume|5,average_volume_10d_calc|5,Value.Traded|5,KltChnl.lower|15,KltChnl.upper|15,BB.lower|15,BB.upper|15,ATR|15,SMA20|15,volume|15,average_volume_10d_calc|15,Value.Traded|15,KltChnl.lower|30,KltChnl.upper|30,BB.lower|30,BB.upper|30,ATR|30,SMA20|30,volume|30,average_volume_10d_calc|30,Value.Traded|30,KltChnl.lower|60,KltChnl.upper|60,BB.lower|60,BB.upper|60,ATR|60,SMA20|60,volume|60,average_volume_10d_calc|60,Value.Traded|60,KltChnl.lower|120,KltChnl.upper|120,BB.lower|120,BB.upper|120,ATR|120,SMA20|120,volume|120,average_volume_10d_calc|120,Value.Traded|120,KltChnl.lower|240,KltChnl.upper|240,BB.lower|240,BB.upper|240,ATR|240,SMA20|240,volume|240,average_volume_10d_calc|240,Value.Traded|240,KltChnl.lower|1W,KltChnl.upper|1W,BB.lower|1W,BB.upper|1W,ATR|1W,SMA20|1W,volume|1W,average_volume_10d_calc|1W,Value.Traded|1W,KltChnl.lower|1M,KltChnl.upper|1M,BB.lower|1M,BB.upper|1M,ATR|1M,SMA20|1M,volume|1M,average_volume_10d_calc|1M,Value.Traded|1M,fired_timeframe,previous_volatility,current_volatility,volatility_increased,fired_timestamp,confluence,tf_order,SqueezeCount,highest_tf,URL,logo,rvol,momentum,squeeze_strength,HeatmapScore
NSE:ADANIGREEN,ADANIGREEN,adani,1043.3,-2.308205314271458,965.2384424966233,1106.2871206584784,933.258383197282,1141.8816168027188,34.560591367841724,1037.5700000000004,690755,3587495.1,720664691.5,1043.462943354615,1049.517870357616,1041.7880387684213,1051.8219612315788,1.5623384653579262,1046.805,9107,7565.3,9504065.2,1045.355211660943,1060.5748062636148,1043.6418996041855,1064.868100395812,3.6846598403895814,1054.2549999999987,34538,38669.2,36043856.8,1046.4397609155242,1069.5121660489697,1046.8596307743487,1072.8603692256506,5.603357408801192,1059.8599999999997,75653,126978.2,78951470.8,1045.134777570135,1074.1321322073065,1045.4598643754339,1079.930135624566,7.234971008225808,1062.695,75653,168898.6,78951470.8,1039.8934872697002,1077.080877898646,1046.7775621229503,1077.4624378770473,9.826029496390023,1062.1199999999988,75653,437245.7,78951470.8,1030.7026634089425,1085.0648480801146,1022.8171301866685,1086.2278698133312,14.486054578319525,1054.5224999999998,686220,569240.3,716139191.9999999,1007.79734507941,1099.1496840527495,1009.1549214815751,1118.3650785184245,23.623814493990967,1063.7599999999998,686220,1350273.2,716139191.9999999,844.8349751112515,1146.6837894396103,896.5129620793576,1079.6520379206427,80.06382539319036,988.0825000000001,5518532,14873697.1,5757484435.599999,685.8726507929969,1668.3294957644925,496.56071277165665,2154.4892872283444,273.3829082794493,1325.5250000000005,12464005,70428610.0,13003696416.5,1H,1.1872224413351133,1.5614076756725739,True,2025-10-08 10:24:41.519916,True,6,2,1H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AADANIGREEN,https://s3-symbol-logo.tradingview.com/adani.svg,0.17302171296367236,Neutral,FIRED (Confluence),0.13507871533974744
NSE:AXISBANK,AXISBANK,axis-bank,1183.4,4.318298850824412,1101.489228476192,1191.418980996899,1073.5207163632115,1213.0092836367887,21.302257141596243,1143.265,1140860,9811791.799999993,1350093724.0,1179.724321458327,1182.9653253348058,1178.2040227784034,1183.2959772215938,0.8301343482260425,1180.7499999999986,9757,8360.7,11546433.8,1178.127165017067,1189.4584324569496,1177.07774314284,1191.292256857157,2.84821900930168,1184.1849999999986,34978,34408.4,41392965.2,1178.4632096052878,1198.01439233281,1179.6747043049136,1198.2752956950844,4.827764611898461,1188.974999999999,83607,422302.7,98940523.80000001,1176.9951918827794,1202.8433965563083,1175.4128302640156,1212.9771697359852,6.578446730773038,1194.1950000000004,83607,657194.3,98940523.80000001,1169.5397075741369,1204.7053096940929,1169.8402254582907,1217.4097745417089,8.844238496764364,1193.6249999999998,83607,1040515.6,98940523.80000001,1156.2108412276089,1203.5580145121448,1124.3307799472182,1227.0292200527765,11.444613822563953,1175.6799999999973,1106975,3276107.8,1309994215.0,1134.128112069146,1199.247664937826,1120.2322151050696,1211.6477848949296,15.538786742124467,1165.9399999999996,1106975,5545604.4,1309994215.0,1038.418025266188,1214.9706049552935,1013.0681739794156,1256.4818260205836,45.72812836665888,1134.7749999999996,29889521,30069460.900000025,35371259151.4,881.8301782437682,1325.8929780973497,988.4167526349279,1279.9082473650715,110.29600039865296,1134.1624999999997,50639545,148282971.1000001,59926837553.00001,15m,1.3235549292020174,1.9264186311329279,True,2025-10-08 10:24:41.519916,True,4,1,15m,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AAXISBANK,https://s3-symbol-logo.tradingview.com/axis-bank.svg,0.19797884313787242,Neutral,FIRED (Confluence),0.19069506599547043
NSE:MARUTI,MARUTI,maruti-suzuki-india,15998.0,-2.308205314271458,965.2384424966233,1106.2871206584784,933.258383197282,1141.8816168027188,34.560591367841724,1037.5700000000004,690755,3587495.1,720664691.5,1043.462943354615,1049.517870357616,1041.7880387684213,1051.8219612315788,1.5623384653579262,1046.805,9107,7565.3,9504065.2,1045.355211660943,1060.5748062636148,1043.6418996041855,1064.868100395812,3.6846598403895814,1054.2549999999987,34538,38669.2,36043856.8,1046.4397609155242,1069.5121660489697,1046.8596307743487,1072.8603692256506,5.603357408801192,1059.8599999999997,75653,126978.2,78951470.8,1045.134777570135,1074.1321322073065,1045.4598643754339,1079.930135624566,7.234971008225808,1062.695,75653,168898.6,78951470.8,1039.8934872697002,1077.080877898646,1046.7775621229503,1077.4624378770473,9.826029496390023,1062.1199999999988,75653,437245.7,78951470.8,1030.7026634089425,1085.0648480801146,1022.8171301866685,1086.2278698133312,14.486054578319525,1054.5224999999998,686220,569240.3,716139191.9999999,1007.79734507941,1099.1496840527495,1009.1549214815751,1118.3650785184245,23.623814493990967,1063.7599999999998,686220,1350273.2,716139191.9999999,844.8349751112515,1146.6837894396103,896.5129620793576,1079.6520379206427,80.06382539319036,988.0825000000001,5518532,14873697.1,5757484435.599999,685.8726507929969,1668.3294957644925,496.56071277165665,2154.4892872283444,273.3829082794493,1325.5250000000005,12464005,70428610.0,13003696416.5,1H,1.1872224413351133,1.5614076756725739,True,2025-10-08 10:24:41.519916,True,6,2,1H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AMARUTI,https://s3-symbol-logo.tradingview.com/maruti-suzuki-india.svg,0.17302171296367236,Neutral,FIRED (Confluence),0.13507871533974744
